"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 31 07:46:32 GMT 2025","Thu Jul 31 07:46:32 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Thu Jul 31 07:46:32 GMT 2025","Thu Jul 31 07:46:32 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Thu Jul 31 07:46:32 GMT 2025","Thu Jul 31 07:46:32 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Thu Jul 31 07:46:21 GMT 2025","Thu Jul 31 07:46:24 GMT 2025","3049","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Jul 31 07:46:29 GMT 2025","Thu Jul 31 07:46:32 GMT 2025","2270","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Jul 31 07:46:26 GMT 2025","Thu Jul 31 07:46:28 GMT 2025","1733","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Jul 31 07:46:32 GMT 2025","Thu Jul 31 07:46:32 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Thu Jul 31 07:46:24 GMT 2025","Thu Jul 31 07:46:26 GMT 2025","1551","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Jul 31 07:46:23 GMT 2025","Thu Jul 31 07:46:25 GMT 2025","1644","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Jul 31 07:46:21 GMT 2025","Thu Jul 31 07:46:22 GMT 2025","1605","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Jul 31 07:46:30 GMT 2025","Thu Jul 31 07:46:33 GMT 2025","2772","LMS system","Courses","Courses","","","Edit course",""
"passed","Thu Jul 31 07:46:33 GMT 2025","Thu Jul 31 07:46:35 GMT 2025","1473","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Jul 31 07:46:32 GMT 2025","Thu Jul 31 07:46:32 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Thu Jul 31 07:46:25 GMT 2025","Thu Jul 31 07:46:26 GMT 2025","1359","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Thu Jul 31 07:46:28 GMT 2025","Thu Jul 31 07:46:29 GMT 2025","1603","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Jul 31 07:46:32 GMT 2025","Thu Jul 31 07:46:32 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
